state,year,population_crore,urban_pct,rural_pct,disease_index,hospitals_total,hospital_beds_per_1000,icu_beds,doctors_total,doctor_per_1000,nurses_total,phc_count,chc_count,vaccine_coverage_pct,cold_chain_facilities,vaccine_doses_required_cr,health_budget_crore,budget_per_capita_inr,infra_gap_score,maternal_mortality_ratio,infant_mortality_rate,life_expectancy
Andhra Pradesh,2020,5.27,29.4,70.6,0.41,2450,1.1,1820,28500,0.54,42000,1417,195,78.2,312,3.85,8920,1693,4.2,65,32,69.8
Andhra Pradesh,2021,5.31,29.8,70.2,0.40,2510,1.12,1890,29200,0.55,43500,1440,198,79.5,320,3.88,9450,1780,4.1,62,30,70.1
Andhra Pradesh,2022,5.35,30.2,69.8,0.39,2580,1.14,1950,30100,0.56,44800,1465,202,81.0,328,3.91,10200,1907,4.0,59,29,70.3
Andhra Pradesh,2023,5.39,30.6,69.4,0.38,2660,1.16,2020,31000,0.57,46200,1488,205,82.3,335,3.94,11100,2060,3.9,56,27,70.6
Andhra Pradesh,2024,5.43,31.0,69.0,0.37,2740,1.18,2100,31900,0.59,47800,1512,209,83.8,342,3.97,12050,2219,3.8,53,26,70.9
Andhra Pradesh,2025,5.47,31.5,68.5,0.36,2830,1.21,2180,32900,0.60,49500,1538,213,85.1,350,4.00,13100,2395,3.7,50,24,71.2
Andhra Pradesh,2026,5.51,32.0,68.0,0.35,2920,1.23,2270,33800,0.61,51200,1560,217,86.5,358,4.03,14250,2586,3.6,48,23,71.5
Andhra Pradesh,2027,5.55,32.5,67.5,0.34,3010,1.26,2360,34800,0.63,53000,1585,221,87.8,366,4.06,15500,2793,3.5,45,21,71.8
Arunachal Pradesh,2020,0.16,23.1,76.9,0.58,98,0.61,85,620,0.39,980,130,18,52.3,42,0.12,380,2375,7.2,149,36,67.2
Arunachal Pradesh,2021,0.16,23.5,76.5,0.57,102,0.63,89,645,0.40,1020,133,19,54.1,44,0.12,420,2625,7.0,142,35,67.5
Arunachal Pradesh,2022,0.17,24.0,76.0,0.56,107,0.65,93,670,0.41,1060,136,19,56.0,46,0.12,465,2735,6.9,136,33,67.8
Arunachal Pradesh,2023,0.17,24.5,75.5,0.55,112,0.67,97,698,0.42,1100,139,20,58.2,48,0.13,510,3000,6.7,129,32,68.1
Arunachal Pradesh,2024,0.17,25.0,75.0,0.53,117,0.69,102,725,0.43,1150,142,20,60.5,50,0.13,560,3294,6.5,123,30,68.4
Arunachal Pradesh,2025,0.18,25.5,74.5,0.52,123,0.71,107,755,0.44,1200,145,21,62.8,52,0.13,615,3417,6.4,117,29,68.7
Arunachal Pradesh,2026,0.18,26.0,74.0,0.51,129,0.73,112,785,0.45,1250,148,21,65.0,54,0.14,675,3750,6.2,111,27,69.0
Arunachal Pradesh,2027,0.18,26.5,73.5,0.50,135,0.76,118,818,0.46,1310,151,22,67.5,56,0.14,740,4111,6.0,105,26,69.3
Assam,2020,3.55,14.1,85.9,0.56,1280,0.72,920,12500,0.35,18200,1007,152,62.5,185,2.59,4850,1366,6.5,215,44,66.5
Assam,2021,3.58,14.5,85.5,0.55,1320,0.74,960,13000,0.36,19000,1025,155,64.2,190,2.61,5250,1466,6.3,205,42,66.8
Assam,2022,3.62,15.0,85.0,0.54,1365,0.76,1000,13500,0.37,19800,1045,158,66.0,196,2.64,5700,1574,6.2,196,40,67.1
Assam,2023,3.65,15.4,84.6,0.52,1410,0.78,1045,14100,0.39,20700,1068,162,68.1,202,2.67,6200,1699,6.0,187,38,67.4
Assam,2024,3.69,15.9,84.1,0.51,1460,0.80,1090,14700,0.40,21600,1090,165,70.0,208,2.70,6750,1830,5.8,178,36,67.7
Assam,2025,3.72,16.3,83.7,0.50,1510,0.82,1140,15300,0.41,22500,1112,169,72.2,215,2.72,7350,1976,5.7,170,35,68.0
Assam,2026,3.76,16.8,83.2,0.48,1565,0.84,1195,16000,0.43,23500,1135,172,74.5,222,2.75,8000,2128,5.5,162,33,68.3
Assam,2027,3.79,17.2,82.8,0.47,1620,0.87,1250,16700,0.44,24600,1158,176,76.8,230,2.77,8700,2295,5.3,155,31,68.6
Bihar,2020,12.48,11.3,88.7,0.62,2180,0.35,1520,18500,0.15,24000,1864,252,61.0,280,9.10,9200,737,8.5,149,46,68.5
Bihar,2021,12.62,11.6,88.4,0.61,2250,0.36,1580,19200,0.15,25000,1890,258,62.8,288,9.20,9950,788,8.3,143,44,68.7
Bihar,2022,12.76,12.0,88.0,0.60,2330,0.37,1650,20000,0.16,26200,1918,264,64.5,296,9.32,10800,846,8.1,137,42,68.9
Bihar,2023,12.90,12.3,87.7,0.58,2420,0.38,1720,20800,0.16,27400,1948,270,66.5,305,9.43,11750,911,7.9,131,40,69.2
Bihar,2024,13.04,12.7,87.3,0.57,2510,0.39,1800,21700,0.17,28700,1978,276,68.2,315,9.55,12800,982,7.7,125,38,69.4
Bihar,2025,13.18,13.0,87.0,0.55,2610,0.40,1880,22600,0.17,30000,2010,283,70.2,325,9.66,13950,1058,7.5,120,36,69.7
Bihar,2026,13.32,13.4,86.6,0.54,2710,0.41,1970,23600,0.18,31400,2042,290,72.3,336,9.78,15200,1141,7.3,114,34,69.9
Bihar,2027,13.46,13.8,86.2,0.52,2820,0.42,2060,24700,0.18,32900,2076,297,74.5,348,9.90,16550,1229,7.1,109,32,70.2
Chhattisgarh,2020,3.03,23.2,76.8,0.52,920,0.78,680,10200,0.34,15000,786,152,68.5,165,2.21,4100,1353,5.8,159,38,66.8
Chhattisgarh,2021,3.06,23.6,76.4,0.51,950,0.80,710,10600,0.35,15600,798,155,70.0,170,2.24,4450,1454,5.7,152,37,67.1
Chhattisgarh,2022,3.09,24.0,76.0,0.50,985,0.82,742,11000,0.36,16200,812,158,71.8,175,2.26,4850,1570,5.5,145,35,67.4
Chhattisgarh,2023,3.12,24.4,75.6,0.48,1020,0.84,775,11500,0.37,16900,826,162,73.5,180,2.28,5280,1692,5.3,138,33,67.7
Chhattisgarh,2024,3.15,24.8,75.2,0.47,1058,0.86,810,12000,0.38,17600,840,165,75.2,186,2.30,5750,1825,5.2,132,32,68.0
Chhattisgarh,2025,3.18,25.2,74.8,0.46,1098,0.89,848,12500,0.39,18300,855,169,77.0,192,2.33,6260,1968,5.0,126,30,68.3
Chhattisgarh,2026,3.21,25.6,74.4,0.44,1140,0.91,888,13100,0.41,19100,870,172,78.8,198,2.35,6820,2125,4.8,120,28,68.6
Chhattisgarh,2027,3.24,26.0,74.0,0.43,1185,0.94,930,13700,0.42,19900,886,176,80.5,205,2.37,7420,2290,4.6,115,27,68.9
Goa,2020,0.16,62.2,37.8,0.28,145,2.50,180,2200,1.38,3800,52,8,88.5,28,0.12,620,3875,2.5,29,9,74.5
Goa,2021,0.16,62.8,37.2,0.27,148,2.55,185,2280,1.41,3950,52,8,89.2,29,0.12,670,4188,2.4,28,9,74.7
Goa,2022,0.16,63.3,36.7,0.27,152,2.60,192,2360,1.44,4100,53,8,90.0,30,0.12,725,4531,2.3,27,8,74.9
Goa,2023,0.16,63.8,36.2,0.26,156,2.65,198,2440,1.47,4260,53,9,90.8,31,0.12,785,4906,2.2,26,8,75.1
Goa,2024,0.17,64.3,35.7,0.25,160,2.70,205,2520,1.50,4420,54,9,91.5,32,0.12,850,5000,2.1,25,7,75.3
Goa,2025,0.17,64.8,35.2,0.25,165,2.76,212,2600,1.53,4580,54,9,92.2,33,0.12,920,5412,2.0,24,7,75.5
Goa,2026,0.17,65.3,34.7,0.24,170,2.82,220,2690,1.56,4750,55,9,92.8,34,0.13,995,5853,1.9,23,7,75.7
Goa,2027,0.17,65.8,34.2,0.24,175,2.88,228,2780,1.59,4920,55,10,93.5,35,0.13,1080,6353,1.8,22,6,75.9
Gujarat,2020,7.07,42.6,57.4,0.38,3100,1.25,2450,35000,0.49,52000,1516,352,80.5,420,5.16,12500,1768,4.0,75,30,69.5
Gujarat,2021,7.14,43.0,57.0,0.37,3200,1.28,2540,36200,0.51,54000,1540,358,81.8,430,5.21,13500,1891,3.9,72,28,69.8
Gujarat,2022,7.21,43.5,56.5,0.36,3310,1.31,2640,37500,0.52,56100,1565,365,83.0,440,5.27,14600,2025,3.8,69,27,70.1
Gujarat,2023,7.28,44.0,56.0,0.35,3420,1.34,2740,38800,0.53,58200,1592,372,84.2,451,5.32,15900,2184,3.7,66,26,70.3
Gujarat,2024,7.35,44.5,55.5,0.34,3540,1.37,2850,40200,0.55,60400,1618,379,85.5,462,5.38,17300,2354,3.5,63,24,70.6
Gujarat,2025,7.42,45.0,55.0,0.33,3660,1.40,2960,41600,0.56,62800,1646,387,86.8,474,5.43,18800,2534,3.4,60,23,70.9
Gujarat,2026,7.49,45.5,54.5,0.32,3790,1.44,3080,43100,0.58,65200,1674,395,88.0,486,5.49,20500,2737,3.3,57,22,71.2
Gujarat,2027,7.56,46.0,54.0,0.31,3920,1.47,3200,44700,0.59,67800,1703,403,89.2,500,5.54,22300,2950,3.2,55,20,71.5
Haryana,2020,3.00,34.8,65.2,0.39,1450,0.96,1100,15500,0.52,23000,548,130,78.0,185,2.19,5200,1733,4.5,91,33,68.8
Haryana,2021,3.03,35.3,64.7,0.38,1500,0.98,1140,16000,0.53,24000,558,133,79.5,190,2.21,5650,1864,4.4,87,31,69.1
Haryana,2022,3.06,35.8,64.2,0.37,1555,1.01,1185,16600,0.54,25000,568,136,81.0,195,2.24,6150,2010,4.2,83,30,69.4
Haryana,2023,3.09,36.3,63.7,0.36,1610,1.03,1230,17200,0.56,26100,579,139,82.3,201,2.26,6700,2168,4.1,80,28,69.7
Haryana,2024,3.12,36.8,63.2,0.35,1670,1.06,1280,17800,0.57,27200,590,142,83.8,207,2.28,7300,2340,3.9,76,27,70.0
Haryana,2025,3.15,37.3,62.7,0.34,1730,1.09,1330,18500,0.59,28400,601,146,85.1,213,2.30,7950,2524,3.8,73,26,70.3
Haryana,2026,3.18,37.8,62.2,0.33,1800,1.12,1390,19200,0.60,29700,612,149,86.5,219,2.33,8650,2720,3.6,70,24,70.6
Haryana,2027,3.21,38.3,61.7,0.32,1870,1.15,1450,19900,0.62,31000,624,153,87.8,226,2.35,9400,2928,3.5,67,23,70.9
Himachal Pradesh,2020,0.77,10.0,90.0,0.32,680,1.35,520,6800,0.88,10200,518,82,85.0,120,0.56,2200,2857,3.5,61,25,72.0
Himachal Pradesh,2021,0.77,10.3,89.7,0.31,695,1.38,535,7000,0.90,10600,525,84,86.0,123,0.56,2380,3091,3.4,58,24,72.2
Himachal Pradesh,2022,0.78,10.6,89.4,0.31,712,1.41,550,7200,0.92,11000,532,85,87.0,126,0.57,2580,3308,3.3,56,23,72.5
Himachal Pradesh,2023,0.78,10.9,89.1,0.30,730,1.44,568,7400,0.94,11400,540,87,88.0,129,0.57,2790,3577,3.2,53,22,72.7
Himachal Pradesh,2024,0.79,11.2,88.8,0.29,748,1.47,585,7600,0.96,11800,548,89,88.8,132,0.58,3020,3823,3.0,51,21,73.0
Himachal Pradesh,2025,0.79,11.5,88.5,0.29,768,1.50,603,7850,0.99,12300,556,91,89.5,136,0.58,3270,4139,2.9,48,20,73.2
Himachal Pradesh,2026,0.80,11.8,88.2,0.28,788,1.53,622,8100,1.01,12800,564,93,90.2,140,0.58,3540,4425,2.8,46,19,73.5
Himachal Pradesh,2027,0.80,12.2,87.8,0.27,810,1.56,642,8350,1.04,13300,572,95,91.0,144,0.59,3830,4788,2.7,44,18,73.7
Jharkhand,2020,3.92,24.1,75.9,0.55,1020,0.52,710,10800,0.28,15500,682,148,58.5,168,2.86,4200,1071,7.0,76,32,67.0
Jharkhand,2021,3.96,24.5,75.5,0.54,1058,0.54,740,11200,0.28,16100,695,151,60.5,173,2.89,4580,1157,6.8,73,31,67.3
Jharkhand,2022,4.00,25.0,75.0,0.53,1098,0.56,775,11700,0.29,16800,708,155,62.5,178,2.92,4980,1245,6.6,70,29,67.6
Jharkhand,2023,4.04,25.4,74.6,0.51,1140,0.58,810,12200,0.30,17500,722,158,64.8,183,2.95,5420,1342,6.4,67,28,67.9
Jharkhand,2024,4.08,25.9,74.1,0.50,1185,0.60,848,12700,0.31,18200,736,162,67.0,189,2.98,5900,1446,6.2,64,26,68.2
Jharkhand,2025,4.12,26.3,73.7,0.49,1232,0.62,888,13300,0.32,19000,750,165,69.2,195,3.01,6420,1558,6.0,61,25,68.5
Jharkhand,2026,4.16,26.8,73.2,0.47,1282,0.64,930,13900,0.33,19800,764,169,71.5,201,3.04,6990,1680,5.8,58,23,68.8
Jharkhand,2027,4.20,27.2,72.8,0.46,1334,0.66,975,14500,0.35,20700,779,173,73.8,208,3.07,7600,1810,5.6,55,22,69.1
Karnataka,2020,6.91,38.7,61.3,0.36,3200,1.40,2520,38000,0.55,56000,2310,386,78.5,380,5.05,13200,1910,3.8,92,25,69.5
Karnataka,2021,6.97,39.2,60.8,0.35,3300,1.43,2610,39200,0.56,58000,2340,392,80.0,390,5.10,14200,2038,3.7,88,24,69.8
Karnataka,2022,7.03,39.7,60.3,0.34,3410,1.46,2710,40500,0.58,60000,2372,398,81.5,400,5.14,15400,2190,3.6,84,23,70.1
Karnataka,2023,7.09,40.2,59.8,0.33,3520,1.50,2810,41800,0.59,62200,2405,405,83.0,410,5.19,16700,2355,3.4,80,22,70.4
Karnataka,2024,7.15,40.7,59.3,0.32,3640,1.53,2920,43200,0.60,64500,2438,412,84.5,421,5.23,18100,2531,3.3,77,20,70.7
Karnataka,2025,7.21,41.2,58.8,0.31,3760,1.56,3030,44600,0.62,66800,2472,419,86.0,432,5.27,19600,2718,3.2,73,19,71.0
Karnataka,2026,7.27,41.7,58.3,0.30,3890,1.60,3150,46100,0.63,69200,2508,426,87.2,444,5.32,21300,2930,3.0,70,18,71.3
Karnataka,2027,7.33,42.2,57.8,0.29,4020,1.63,3280,47700,0.65,71800,2544,434,88.5,456,5.36,23100,3151,2.9,67,17,71.6
Kerala,2020,3.56,47.7,52.3,0.25,3800,2.60,3200,42000,1.18,68000,858,232,91.2,480,2.60,9800,2753,2.2,43,10,75.5
Kerala,2021,3.57,48.2,51.8,0.24,3880,2.65,3280,43000,1.20,70000,862,235,91.8,488,2.61,10500,2941,2.1,41,9,75.7
Kerala,2022,3.58,48.7,51.3,0.24,3960,2.70,3360,44000,1.23,72000,866,238,92.5,496,2.62,11300,3156,2.0,39,9,75.9
Kerala,2023,3.59,49.2,50.8,0.23,4050,2.75,3450,45200,1.26,74200,870,241,93.0,505,2.62,12200,3398,2.0,37,8,76.2
Kerala,2024,3.60,49.7,50.3,0.23,4140,2.80,3540,46400,1.29,76500,875,244,93.5,514,2.63,13200,3667,1.9,36,8,76.4
Kerala,2025,3.61,50.2,49.8,0.22,4230,2.86,3640,47600,1.32,78800,880,248,94.0,523,2.64,14300,3961,1.8,34,7,76.6
Kerala,2026,3.62,50.7,49.3,0.22,4330,2.91,3740,48900,1.35,81200,885,251,94.5,533,2.64,15500,4282,1.7,33,7,76.8
Kerala,2027,3.63,51.2,48.8,0.21,4430,2.97,3850,50200,1.38,83700,890,255,95.0,543,2.65,16800,4628,1.6,31,6,77.0
Madhya Pradesh,2020,8.60,27.6,72.4,0.52,2800,0.65,1950,22000,0.26,32000,1558,334,68.2,320,6.28,8500,988,6.8,173,48,66.2
Madhya Pradesh,2021,8.69,28.0,72.0,0.51,2890,0.67,2020,22800,0.26,33200,1580,340,70.0,328,6.34,9200,1059,6.6,166,46,66.5
